portName,log,lat,asOcount,asDcount,total
Flanders,4.22834,51.096245,0,1,1
Flekkefjord,6.66118,58.296958999999994,0,4,4
Fohr,8.4958,54.71763000000001,0,1,1
France,3.69429,44.83791,0,29,29
Friedrichstadt,9.08848,54.37588100000001,0,1,1
Geestenseth,8.8557500839,53.508338928,0,1,1
Gent,3.72856,51.05563,0,1,1
"Georgetown, Guyana",-58.161251068,6.808549881,0,2,2
"Grand-Terre, Guadeloupe",-61.46689620000001,16.2732353,0,1,1
Gravesend,0.36462,51.432819,0,1,1
Great Britain,-2.30546,52.84145,0,1,1
Grenada,-61.746151,12.06783,0,6,6
Guinea,-78.93177,8.34012,0,5,5
Haderslev,9.4881,55.250549,0,1,1
"Hartley, Kent",0.30534,51.383511,0,1,1
Holmestrand,10.3221,59.479729000000006,0,1,1
Ile d'Aix,-1.173399,46.012475,0,1,1
Ile-de-Brehat,-2.99919,48.84787,0,2,2
India,82.71767,21.504394,0,1,1
Inverness,-4.235609999999999,57.479012,0,2,2
Isle of Wight,-1.32524,50.67109,0,1,1
Isola d'Elba,10.266619682,42.798053741,0,1,1
Italy,12.573466,41.29254,0,1,1
Jeremie,-74.1241,18.64307,0,1,1
Joure,5.79884,52.964439,0,1,1
Kalmar,16.363960000000002,56.666111,0,2,2
Kingston,-76.78823800000002,17.97097,0,2,2
Kinsale,-8.52292,51.706241999999996,0,1,1
Kopervik,5.30319,59.284518999999996,0,1,1
Korsor,11.1427,55.3302,0,1,1
"Kragen, Flekkefjord",6.65988,58.302626000000004,0,1,1
Las Palmas de Gran Canaria,-15.43971,28.13022,0,1,1
Le Port Corbin,-2.1202099999999997,47.723919,0,1,1
Lillesand,8.37989,58.250220999999996,0,1,1
Lyon,4.8289800000000005,45.759392,0,1,1
Macduff,-2.49425,57.671181000000004,0,1,1
Makkum,5.40523,53.057209,0,1,1
Maputo,32.578159,-25.967581,0,1,1
Mediterranean,15.208905,37.992259000000004,0,1,1
Milan,9.18103,45.468945,0,1,1
Molde,7.18852,62.739689,0,1,1
Monaco,7.417660000000001,43.732849,0,1,1
Montauban-de-Bretagne,-2.046821,48.200480999999996,0,1,1
Montpellier,3.87609,43.610851000000004,0,1,1
"Mourbouleau, Locqueltas, France",-2.7365049999999997,47.763859000000004,0,1,1
Mozambique,40.731701,-15.038145000000002,0,1,1
Muscat,58.591190000000005,23.61519,0,1,1
Nagapattinam,79.8299999999999,10.77,0,1,1
"Nassau, New Providence",-77.343849182,25.078199386999998,0,1,1
"Nassawaddox, VA",-75.85826390000001,37.4748572,0,1,1
Netherlands,5.2929699999999995,52.152355,0,4,4
"New Amsterdam, Guyana",-57.5166667,6.25,0,1,1
New England,-70.82265409999998,43.965388899999994,0,2,2
"Newport, Isle of Wight",-1.2959399999999999,50.7001,0,1,1
Nice,7.265592,43.696036,0,1,1
"Nixonton, NC",-76.27271260000002,36.2007137,0,1,1
North Carolina,-79.099967957,35.515510559,0,1,1
"Occohannock, VA",-79.458504,38.003352,0,1,1
Oudeschoot,5.95381,52.935821999999995,0,1,1
Ouidah,2.0859400000000003,6.3477,0,1,1
Outer Hebrides,-6.88040399551392,57.6655426025391,0,1,1
Padron,-8.65917,42.738739,0,1,1
Palermo,13.35844,38.121361,0,1,1
Papenburg,7.4235,53.072880000000005,0,1,1
"Pasquotank County, NC",-76.249137878,36.264900208,0,1,1
Pennsylvania,-77.604546,40.994704999999996,0,2,2
"Pentraon, Saint-Thonan",-4.34664,48.49708,0,1,1
"Petersburg, VA",-77.40348,37.228149,0,2,2
Pontivy,-2.966129,48.06494,0,1,1
Pornic,-2.09944,47.115742,0,2,2
Port Glasgow,-4.69367,55.934920999999996,0,1,1
Port de Paix,-72.830917,19.936899,0,2,2
"Port-Launay, France",-4.07309589999999,48.215092999999996,0,1,1
Portsoy,-2.69158,57.68146899999999,0,1,1
Quiberon,-3.11922,47.485690999999996,0,1,1
Quimperle,-3.54538,47.87249,0,2,2
Raahe,24.478741,64.688431,0,1,1
Regneville-sur-Mer,-1.5552999973,49.009681701999995,0,1,1
Rhode Island,-71.503601,41.582578000000005,0,1,1
"Riberon, France",0.260519,43.747706,0,2,2
"Rochester, Kent",0.48793000000000003,51.39642,0,2,2
Saint-Barthelemy,-62.8293876647949,17.901668548584002,0,2,2
Saint-Denis-d'Oleron,-1.38002,46.032181,0,1,1
Saint-Jean-le-Thomas,-1.5145479999999898,48.729764,0,1,1
Saint-Martin-Lacaussade,-0.6400200128600001,45.14879989600001,0,1,1
"Sale, Morocco",-6.79999999999995,34.033333299999995,0,1,1
San Blas,-105.285393,21.541491,0,1,1
"Sandwich, MA",-70.50582900000002,41.765259,0,1,1
Sanxenxo,-8.80495,42.401610999999995,0,1,1
Sarzeau,-2.77054,47.5266,0,1,1
Savona,8.48364,44.305828000000005,0,1,1
Signes,5.8597202301,43.290271759,0,1,1
Sonderborg,9.78994,54.910011,0,2,2
"Southwold, Suffolk",1.6762,52.328159,0,2,2
Stockton upon Tees,-1.33002,54.57849100000001,0,1,1
Suffolk,1.14545,52.057941,0,1,1
"Surat, Gujarat",72.83618199999998,21.165131,0,1,1
Syria,39.056,34.8148,0,2,2
Tallinn,24.7526,59.436475,0,2,2
Talmont-Saint-Hilaire,-1.61753,46.465271,0,1,1
Tangiers,-5.80315,35.779739,0,1,1
"Thwaite, Norfolk",1.43502,52.501831,0,1,1
Tobago,-60.6842,11.24066,0,2,2
"Topsham, Devon",-3.4678400000000003,50.684340999999996,0,5,5
"Truro, Cornwall",-5.05363,50.265228,0,1,1
USA,-88.182259,30.697255,0,18,18
Venice,12.31817,45.438109999999995,0,4,4
Vila do Conde,-8.74103,41.353629999999995,0,4,4
"Wells-next-the-Sea, Norfolk",0.8556,52.9529,0,3,3
Weymouth,-2.45479,50.623791,0,3,3
"Whitby, Yorkshire",-0.61505,54.48523,0,1,1
"Woodbridge, Suffolk",1.32539,52.10545,0,1,1
"Woods Landing, VA",-76.3716781,37.5459925,0,1,1
"Woolverstone, Suffolk",1.1764400005,52.002880096000005,0,1,1
"Woolwich, Kent",0.1537839,51.455552399999995,0,1,1
Wormerveer,4.79181,52.49322900000001,0,1,1
