portName,log,lat,asOcount,asDcount,total
Livorno,10.319980000000001,43.55291,7,91,98
Lixy,3.096285,48.23814,1,0,1
London,-0.12714,51.506321,81,237,318
"Londonderry, Northern Ireland",-7.320139999999999,54.991797999999996,2,0,2
"Lorient, Bretagne",-3.36685,47.750172,35,53,88
Louannec,-3.4126339999999997,48.79464,1,0,1
Loviisa,26.22366,60.45684,1,0,1
Luarca,-6.53661,43.541889000000005,2,1,3
Lubeck,10.68088,53.866268000000005,16,3,19
"Lyme, Connecticut",-72.33458,41.42242,1,0,1
Maassluis,4.25122,51.924438,2,0,2
Macau,113.559807,22.16625,1,0,1
"Machipongo, VA",-75.9015974,37.4059695,3,0,3
Madeira,-16.908911,32.646881,1,5,6
Malaga,-4.42016,36.718319,43,14,57
Malta,14.380004999999999,35.934051000000004,2,1,3
Mandal,7.456410000000001,58.029812,4,0,4
Manilla,120.984909,14.6019,2,0,2
"Marblehead, MA",-70.86142700000002,42.49733,5,0,5
Marennes,-1.10551,45.822497999999996,31,5,36
Marseille,5.37247,43.293701,50,53,103
Marstrand,11.58954,57.88671899999999,4,3,7
"Martha's Vineyard, MA",-70.65284,41.391914,1,0,1
Martigues,5.05523,43.406528,1,0,1
Martinique,-61.02281,14.630625,68,66,134
Maryland,-76.39700317400002,39.033000946,1,0,1
Mauritius,57.589000702,-20.219999313,29,22,51
Medemblik,5.10659,52.772259,1,1,2
"Mesquer, Loire-Atlantique",-2.4607980000000698,47.399615000000004,3,0,3
Messina,15.55309,38.178340999999996,2,1,3
"Metompkin, VA",-75.602333,37.769756,2,0,2
Middelburg,3.60965,51.495441,2,7,9
"Middletown, DE",-75.71632070000001,39.449556,1,0,1
"Milford, Connecticut",-73.057327,41.22501,1,0,1
Mirigoane,-73.085251,18.41432,1,0,1
Mocha,43.259109,13.309379999999999,1,0,1
Mole Saint-Nicolas,-73.262039,19.861641,1,0,1
Mole-Saint-Nicolas,-73.26203918500002,19.86164093,3,1,4
Monserrat,-0.59834,39.356659,1,0,1
Monterosso al Mare,9.6548299789,44.14939880399999,1,0,1
Montevideo,-56.16302099999999,-34.874161,17,5,22
Montrose,-2.46618,56.721439000000004,1,2,3
